;Kode.Dagri;Kode.BPS;Urutan JSON;name;Kode.Geo;Nama.Provinsi;Nama.Kabupaten.Kota;IRBI.2017;IRBI.2018;IRBI.2019;IRBI.2020;IRBI.2021;IRBI.2022;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022;korel
64;1308;1309;101;PASAMAN;80200;Sumatera Barat;Pasaman;178;178;178;178;176,8;0;50,17;42,63;43,62;45;45,93;48,84;-0,467080267
67;1311;1310;102;SOLOK SELATAN;81100;Sumatera Barat;Solok Selatan;137,2;137,2;137,2;137,2;137,2;0;46,05;42,49;42,33;35,54;40,07;41,3;-0,000472469
66;1310;1311;103;DHARMASRAYA;81200;Sumatera Barat;Dharmasraya;143,2;143,2;143,2;143,2;137,69;0;46,03;43,2;46,29;44,59;48,86;47,63;-0,396818909
68;1312;1312;104;PASAMAN BARAT;81300;Sumatera Barat;Pasaman Barat;203,2;203,2;203,2;203,2;203,2;0;49,93;49,51;45,7;46,98;47,4;50,19;-0,506067141
69;1371;1371;105;KOTA PADANG;86100;Sumatera Barat;Kota Padang;191,6;191,6;169,92;169,92;181,7;190,62;49,4;46,71;50,13;45,48;50,43;51,08;0,243031558
131;1806;1802;106;TANGGAMUS;120600;Lampung;Tanggamus;141;135,86;135,86;135,86;135,86;181,22;56,46;58,39;49,82;55,07;54,68;57,03;0,322209395
126;1801;1803;107;LAMPUNG SELATAN;120100;Lampung;Lampung Selatan;187,2;187,2;187,2;187,2;187,2;150,32;54,64;55,07;60,33;56,91;64,54;60,28;-0,21309214
132;1807;1804;108;LAMPUNG TIMUR;120700;Lampung;Lampung Timur;183,2;183,2;183,2;183,2;183,2;183,2;52,04;44,23;44;48,43;47,55;48,99;NA
70;1372;1372;109;KOTA SOLOK;86400;Sumatera Barat;Kota Solok;125,2;125,2;125,2;125,2;125,2;93,92;57,3;52,09;57,57;64,67;58,72;64,66;-0,556696141
71;1373;1373;110;KOTA SAWAH LUNTO;86300;Sumatera Barat;Kota Sawahlunto;113,2;113,2;113,2;113,2;113,2;72,82;53,87;47,66;46,99;42,91;54,17;62,61;-0,786836791
72;1374;1374;111;KOTA PADANG PANJANG;86200;Sumatera Barat;Kota Padang Panjang;113,2;113,2;113,2;113,2;113,2;0;64;46,96;55,09;57,67;62,91;70,01;-0,644898748
127;1802;1805;112;LAMPUNG TENGAH;120200;Lampung;Lampung Tengah;131,2;131,2;131,2;131,2;131,2;97,31;51,76;45,78;46,33;52,6;48,8;55,76;-0,704177079
128;1803;1806;113;LAMPUNG UTARA;120300;Lampung;Lampung Utara;131,2;131,2;131,2;131,2;131,2;131,2;52,5;43,25;41;44,21;43,83;46,3;NA
133;1808;1807;114;WAY KANAN;120800;Lampung;Way Kanan;131,2;131,2;131,2;131,2;131,2;94,09;53,72;49,82;33,79;44,37;47,25;47,58;-0,107758485
130;1805;1808;115;TULANGBAWANG;120500;Lampung;Tulang Bawang;144,4;144,4;144,4;144,4;144,4;105,4;44,88;44,55;42,26;38,65;44,2;40,96;0,324845742
134;1809;1809;116;PESAWARAN;120900;Lampung;Pesawaran;181,6;181,6;181,6;181,6;181,6;153,59;54,2;55,12;54,11;51,3;53,34;55,89;-0,585232702
135;1810;1810;117;PRINGSEWU;121000;Lampung;Pringsewu;95,2;95,2;95,2;95,2;95,2;95,2;54,48;56,87;52,57;56,8;56,63;58,37;NA
136;1811;1811;118;MESUJI;121100;Lampung;Mesuji;120,4;120,4;120,4;120,4;120,4;120,27;44,54;51,23;43,89;41,48;51,79;51,5;-0,435095035
137;1812;1812;119;TULANG BAWANG BARAT;121200;Lampung;Tulang Bawang Barat;120,4;120,4;120,4;120,4;120,4;120,2;51,45;37,59;50,52;47,73;48,33;49,44;-0,18728466
138;1813;1813;120;PESISIR BARAT;121300;Lampung;Pesisir Barat;214;204,22;179,29;179,29;189,7;214;52,87;51,02;46,16;47,06;51;50,98;0,871941778
139;1871;1871;121;KOTA BANDAR LAMPUNG;126000;Lampung;Kota Bandar Lampung;182;165,56;165,56;165,56;165,56;77,1;59,86;56,32;54,71;47,92;54,49;55,37;0,042182623
140;1872;1872;122;KOTA METRO;126100;Lampung;Kota Metro;113,6;113,6;113,6;113,6;100,26;73,23;54,09;48,18;43,6;57,24;46,74;55,03;-0,263859718
243;3516;3516;123;MOJOKERTO;50300;Jawa Timur;Mojokerto;163,6;163,6;142,2;125,4;110,73;80,29;59,85;59,42;61,78;57,37;57,95;58,29;0,53497279
